iter	Passed	Remaining
723	2458	937
724	2461	933
725	2464	930
726	2468	926
727	2471	923
728	2474	919
729	2478	916
730	2481	913
731	2485	909
732	2488	906
733	2491	903
734	2495	899
735	2498	896
736	2501	892
737	2504	889
738	2509	886
739	2512	882
740	2515	879
741	2518	875
742	2521	872
743	2524	868
744	2527	865
745	2530	861
746	2533	858
747	2537	854
748	2540	851
749	2543	847
750	2546	844
751	2549	840
752	2553	837
753	2556	834
754	2559	830
755	2562	827
756	2565	823
757	2569	820
758	2572	816
759	2575	813
760	2578	809
761	2581	806
762	2584	802
763	2588	799
764	2591	795
765	2594	792
766	2597	789
767	2600	785
768	2603	782
769	2606	778
770	2610	775
771	2613	771
772	2617	768
773	2620	765
774	2623	761
775	2626	758
776	2630	754
777	2633	751
778	2636	748
779	2640	744
780	2643	741
781	2646	737
782	2649	734
783	2652	730
784	2655	727
785	2658	723
786	2661	720
787	2664	716
788	2667	713
789	2671	710
790	2674	706
791	2677	703
792	2680	699
793	2683	696
794	2686	692
795	2689	689
796	2692	685
797	2695	682
798	2698	678
799	2702	675
800	2705	672
801	2707	668
802	2710	665
803	2714	661
804	2716	658
805	2719	654
806	2722	651
807	2725	647
808	2728	644
809	2732	640
810	2735	637
811	2738	633
812	2741	630
813	2743	627
814	2747	623
815	2750	620
816	2753	616
817	2756	613
818	2759	609
819	2763	606
820	2766	603
821	2770	599
822	2773	596
823	2777	593
824	2780	589
825	2783	586
826	2786	582
827	2788	579
828	2791	575
829	2795	572
830	2798	569
831	2801	565
832	2804	562
833	2808	558
834	2811	555
835	2814	552
836	2817	548
837	2820	545
838	2823	541
839	2826	538
840	2829	534
841	2832	531
842	2835	528
843	2838	524
844	2841	521
845	2844	517
846	2847	514
847	2850	510
848	2853	507
849	2856	504
850	2860	500
851	2863	497
852	2865	493
853	2869	490
854	2872	487
855	2875	483
856	2878	480
857	2881	476
858	2884	473
859	2888	470
860	2891	466
861	2895	463
862	2898	460
863	2901	456
864	2904	453
865	2907	449
866	2910	446
867	2914	443
868	2917	439
869	2920	436
870	2923	433
871	2927	429
872	2930	426
873	2933	422
874	2936	419
875	2940	416
876	2943	412
877	2947	409
878	2950	406
879	2953	402
880	2956	399
881	2959	395
882	2962	392
883	2965	389
884	2968	385
885	2971	382
886	2974	378
887	2978	375
888	2981	372
889	2984	368
890	2987	365
891	2990	362
892	2994	358
893	2997	355
894	3000	351
895	3003	348
896	3007	345
897	3010	341
898	3013	338
899	3016	335
900	3019	331
901	3023	328
902	3026	325
903	3029	321
904	3032	318
905	3036	314
906	3039	311
907	3042	308
908	3045	304
909	3049	301
910	3052	298
911	3056	294
912	3059	291
913	3062	288
914	3066	284
915	3070	281
916	3073	278
917	3077	274
918	3080	271
919	3083	268
920	3087	264
921	3090	261
922	3093	258
923	3096	254
924	3100	251
925	3104	248
926	3107	244
927	3110	241
928	3113	237
929	3116	234
930	3120	231
931	3123	227
932	3126	224
933	3129	221
934	3132	217
935	3135	214
936	3138	211
937	3142	207
938	3145	204
939	3148	200
940	3151	197
941	3155	194
942	3158	190
943	3161	187
944	3164	184
945	3168	180
946	3171	177
947	3174	174
948	3177	170
949	3180	167
950	3183	164
951	3187	160
952	3190	157
953	3193	153
954	3196	150
955	3199	147
956	3202	143
957	3205	140
958	3208	137
959	3211	133
960	3214	130
961	3218	127
962	3221	123
963	3223	120
964	3226	117
965	3229	113
966	3233	110
967	3236	106
968	3239	103
969	3242	100
970	3245	96
971	3248	93
972	3252	90
973	3254	86
974	3257	83
975	3260	80
976	3264	76
977	3267	73
978	3270	70
979	3273	66
980	3276	63
981	3280	60
982	3284	56
983	3289	53
984	3292	50
985	3295	46
986	3299	43
987	3303	40
988	3307	36
989	3311	33
990	3314	30
991	3317	26
992	3320	23
993	3323	20
994	3326	16
995	3330	13
996	3333	10
997	3337	6
998	3340	3
999	3343	0
